month,customer_id,region,segment,tenure_months,products_held,transactions,engagement_score,support_tickets,marketing_touch,monthly_revenue,churned,data_source
2022-01-01,SYN-00001,West,Small Business,74,3,64,0.9832,0,0,43.44,0,synthetic_demo
2022-01-01,SYN-00002,Central,Small Business,8,2,59,0.8703,2,1,77.39,0,synthetic_demo
2022-01-01,SYN-00003,West,Commercial,35,1,56,0.9134,0,0,126.13,0,synthetic_demo
2022-01-01,SYN-00004,East,Consumer,40,4,59,0.3717,0,0,33.46,0,synthetic_demo
2022-01-01,SYN-00005,Central,Consumer,67,3,45,0.2717,2,0,24.53,0,synthetic_demo
2022-01-01,SYN-00006,West,Small Business,13,1,31,0.3881,2,0,197.05,0,synthetic_demo
2022-01-01,SYN-00007,West,Consumer,38,2,21,0.0277,0,0,46.13,0,synthetic_demo
2022-01-01,SYN-00008,West,Small Business,15,2,19,0.1125,1,0,130.86,0,synthetic_demo
2022-01-01,SYN-00009,Central,Consumer,66,4,39,0.1465,2,0,67.5,0,synthetic_demo
2022-01-01,SYN-00010,East,Consumer,54,3,68,1.0,0,0,131.27,0,synthetic_demo
2022-01-01,SYN-00011,Central,Consumer,43,4,52,0.2506,1,0,30.13,0,synthetic_demo
2022-01-01,SYN-00012,West,Small Business,34,4,43,0.02,4,0,52.16,1,synthetic_demo
2022-01-01,SYN-00013,East,Consumer,15,1,49,0.7945,0,0,107.2,0,synthetic_demo
2022-01-01,SYN-00014,West,Consumer,77,2,47,0.3702,0,0,39.39,0,synthetic_demo
2022-01-01,SYN-00015,Central,Consumer,55,3,58,0.6058,0,0,71.85,0,synthetic_demo
2022-01-01,SYN-00016,Central,Consumer,28,1,38,0.669,2,0,99.2,0,synthetic_demo
2022-01-01,SYN-00017,East,Consumer,36,3,56,0.8631,2,1,55.1,0,synthetic_demo
2022-01-01,SYN-00018,Central,Small Business,61,3,43,0.6547,1,0,80.98,0,synthetic_demo
2022-01-01,SYN-00019,West,Consumer,61,4,42,0.4834,0,1,33.45,0,synthetic_demo
2022-01-01,SYN-00020,East,Small Business,40,4,58,0.754,3,1,143.78,0,synthetic_demo
2022-01-01,SYN-00021,West,Small Business,27,1,46,0.6979,2,0,143.33,0,synthetic_demo
2022-01-01,SYN-00022,Central,Consumer,56,1,41,0.4149,3,0,29.44,0,synthetic_demo
2022-01-01,SYN-00023,West,Consumer,56,2,41,0.6122,3,1,66.75,0,synthetic_demo
2022-01-01,SYN-00024,West,Consumer,51,3,39,0.2929,3,0,94.92,0,synthetic_demo
2022-01-01,SYN-00025,West,Consumer,8,4,58,0.7384,1,0,90.56,0,synthetic_demo
2022-01-01,SYN-00026,Central,Consumer,41,1,32,0.3145,1,0,16.98,1,synthetic_demo
2022-01-01,SYN-00027,East,Commercial,52,3,54,0.3025,3,0,320.08,0,synthetic_demo
2022-01-01,SYN-00028,Central,Commercial,79,4,37,0.2014,0,0,103.12,0,synthetic_demo
2022-01-01,SYN-00029,Central,Small Business,45,2,49,0.7466,0,1,284.57,0,synthetic_demo
2022-01-01,SYN-00030,East,Consumer,30,3,54,0.5512,3,1,57.3,0,synthetic_demo
2022-01-01,SYN-00031,West,Small Business,48,4,62,0.7259,0,0,205.13,0,synthetic_demo
2022-01-01,SYN-00032,West,Small Business,17,3,56,0.8492,1,0,137.66,0,synthetic_demo
2022-01-01,SYN-00033,Central,Consumer,10,1,22,0.0413,2,0,21.07,1,synthetic_demo
2022-01-01,SYN-00034,Central,Consumer,57,2,38,0.8941,0,1,15.46,1,synthetic_demo
2022-01-01,SYN-00035,East,Consumer,82,4,40,0.4667,3,0,70.03,0,synthetic_demo
2022-01-01,SYN-00036,Central,Consumer,71,4,58,0.3366,2,0,22.13,0,synthetic_demo
2022-01-01,SYN-00037,Central,Consumer,50,4,54,0.5376,3,0,122.86,0,synthetic_demo
2022-01-01,SYN-00038,East,Consumer,6,3,65,0.6787,1,0,140.86,0,synthetic_demo
2022-01-01,SYN-00039,Central,Consumer,83,4,44,0.2046,4,0,43.01,0,synthetic_demo
2022-01-01,SYN-00040,East,Small Business,39,4,68,0.9209,0,0,151.94,0,synthetic_demo
2022-01-01,SYN-00041,Central,Commercial,26,3,48,0.3372,2,1,139.85,0,synthetic_demo
2022-01-01,SYN-00042,West,Consumer,75,3,67,0.8072,2,0,25.1,1,synthetic_demo
2022-01-01,SYN-00043,East,Small Business,63,2,52,0.8099,0,0,178.28,0,synthetic_demo
2022-01-01,SYN-00044,Central,Commercial,63,4,60,0.6537,0,0,215.8,0,synthetic_demo
2022-01-01,SYN-00045,West,Consumer,25,4,58,0.4637,2,1,148.41,0,synthetic_demo
2022-01-01,SYN-00046,West,Consumer,83,4,49,0.2783,2,0,26.97,1,synthetic_demo
2022-01-01,SYN-00047,Central,Consumer,39,4,77,0.8723,1,0,116.72,0,synthetic_demo
2022-01-01,SYN-00048,Central,Consumer,46,4,49,0.6075,2,1,58.57,0,synthetic_demo
2022-01-01,SYN-00049,East,Small Business,63,2,58,0.8822,0,1,195.03,0,synthetic_demo
2022-01-01,SYN-00050,Central,Consumer,56,3,38,0.2602,2,0,53.29,0,synthetic_demo
2022-01-01,SYN-00051,Central,Consumer,16,3,49,0.7351,0,1,59.56,0,synthetic_demo
2022-01-01,SYN-00052,Central,Consumer,27,2,52,0.5908,0,1,69.41,0,synthetic_demo
2022-01-01,SYN-00053,West,Consumer,32,4,29,0.0999,0,1,21.25,1,synthetic_demo
2022-01-01,SYN-00054,East,Small Business,79,1,32,0.4231,2,1,148.27,0,synthetic_demo
2022-01-01,SYN-00055,East,Consumer,60,2,57,0.6067,1,1,95.7,0,synthetic_demo
2022-01-01,SYN-00056,West,Consumer,32,4,53,0.7781,0,0,111.6,0,synthetic_demo
2022-01-01,SYN-00057,East,Consumer,62,3,27,0.2078,4,1,49.04,1,synthetic_demo
2022-01-01,SYN-00058,East,Consumer,62,4,47,0.7825,3,0,156.45,0,synthetic_demo
2022-01-01,SYN-00059,Central,Consumer,34,4,68,0.7713,0,0,65.48,0,synthetic_demo
2022-01-01,SYN-00060,Central,Consumer,35,1,66,0.9118,0,1,92.99,0,synthetic_demo
2022-01-01,SYN-00061,East,Consumer,75,4,55,0.3868,2,0,55.69,0,synthetic_demo
2022-01-01,SYN-00062,East,Consumer,48,4,56,0.6686,2,1,66.41,0,synthetic_demo
2022-01-01,SYN-00063,East,Small Business,15,2,50,0.8643,0,1,106.06,0,synthetic_demo
2022-01-01,SYN-00064,West,Consumer,61,3,64,0.8304,1,1,172.6,0,synthetic_demo
2022-01-01,SYN-00065,East,Consumer,50,2,37,0.5634,1,0,36.17,1,synthetic_demo
2022-01-01,SYN-00066,East,Consumer,44,2,35,0.3902,0,0,52.72,0,synthetic_demo
2022-01-01,SYN-00067,East,Small Business,61,1,32,0.6073,0,0,190.6,0,synthetic_demo
2022-01-01,SYN-00068,Central,Consumer,76,1,40,0.8021,1,1,15.05,0,synthetic_demo
2022-01-01,SYN-00069,Central,Consumer,29,2,40,0.5996,0,0,33.27,0,synthetic_demo
