month,customer_id,region,segment,monthly_revenue,churned,churn_probability,risk_band
2024-09-01,SYN-00302,Central,Consumer,6.59,1,0.9958,High
2024-10-01,SYN-00026,Central,Consumer,30.68,1,0.9843,High
2024-11-01,SYN-00263,Central,Consumer,16.59,1,0.9832,High
2024-09-01,SYN-00234,East,Consumer,32.7,1,0.9802,High
2024-09-01,SYN-00353,East,Small Business,13.68,1,0.9775,High
2024-11-01,SYN-00112,Central,Consumer,13.74,1,0.9767,High
2024-10-01,SYN-00012,West,Small Business,27.45,1,0.9762,High
2024-08-01,SYN-00367,West,Small Business,26.46,1,0.9762,High
2024-09-01,SYN-00268,Central,Consumer,21.96,1,0.9759,High
2024-08-01,SYN-00292,Central,Consumer,11.77,1,0.9754,High
2024-07-01,SYN-00008,West,Small Business,33.49,1,0.9743,High
2024-07-01,SYN-00363,Central,Small Business,13.05,1,0.9728,High
2024-10-01,SYN-00407,Central,Consumer,29.4,1,0.9695,High
2024-08-01,SYN-00195,Central,Small Business,18.97,1,0.9687,High
2024-08-01,SYN-00342,West,Small Business,22.5,1,0.9686,High
2024-07-01,SYN-00345,West,Consumer,10.23,1,0.967,High
2024-07-01,SYN-00155,Central,Small Business,23.04,1,0.9661,High
2024-10-01,SYN-00040,East,Small Business,32.06,1,0.9653,High
2024-08-01,SYN-00251,East,Consumer,23.12,1,0.9639,High
2024-07-01,SYN-00159,East,Consumer,27.42,1,0.9623,High
2024-09-01,SYN-00291,West,Consumer,6.34,1,0.9613,High
2024-10-01,SYN-00121,East,Small Business,13.6,1,0.9612,High
2024-12-01,SYN-00217,Central,Consumer,15.39,1,0.961,High
2024-09-01,SYN-00183,East,Consumer,11.16,1,0.9609,High
2024-10-01,SYN-00074,Central,Small Business,10.06,1,0.9607,High
2024-09-01,SYN-00209,Central,Consumer,8.23,1,0.9604,High
2024-09-01,SYN-00472,East,Consumer,25.48,1,0.9602,High
2024-09-01,SYN-00107,Central,Small Business,26.14,1,0.9598,High
2024-09-01,SYN-00130,East,Small Business,29.44,1,0.9589,High
2024-09-01,SYN-00155,Central,Small Business,19.58,1,0.9586,High
2024-08-01,SYN-00114,East,Commercial,24.9,1,0.957,High
2024-11-01,SYN-00467,East,Commercial,21.52,1,0.9567,High
2024-08-01,SYN-00475,Central,Consumer,26.82,1,0.9566,High
2024-09-01,SYN-00381,East,Consumer,20.89,1,0.9562,High
2024-11-01,SYN-00187,Central,Consumer,21.61,1,0.9554,High
2024-11-01,SYN-00158,East,Consumer,15.72,1,0.9543,High
2024-12-01,SYN-00279,West,Small Business,38.78,1,0.9543,High
2024-10-01,SYN-00487,East,Consumer,9.27,1,0.9533,High
2024-07-01,SYN-00325,West,Small Business,36.73,1,0.9522,High
2024-07-01,SYN-00084,Central,Consumer,17.44,1,0.9519,High
2024-12-01,SYN-00111,East,Consumer,7.31,1,0.9505,High
2024-08-01,SYN-00255,Central,Small Business,15.67,1,0.9503,High
2024-10-01,SYN-00360,East,Consumer,16.08,1,0.9491,High
2024-11-01,SYN-00435,Central,Small Business,17.33,1,0.9482,High
2024-11-01,SYN-00147,Central,Consumer,3.36,1,0.9467,High
2024-08-01,SYN-00175,Central,Consumer,27.6,1,0.9443,High
2024-07-01,SYN-00065,East,Consumer,14.75,1,0.9442,High
2024-07-01,SYN-00162,West,Small Business,32.29,1,0.9441,High
2024-08-01,SYN-00183,East,Consumer,25.03,1,0.9436,High
2024-09-01,SYN-00371,West,Small Business,13.58,1,0.9434,High
2024-08-01,SYN-00465,East,Commercial,30.81,1,0.9421,High
2024-07-01,SYN-00464,Central,Consumer,27.25,1,0.9409,High
2024-12-01,SYN-00255,Central,Small Business,23.73,1,0.9406,High
2024-08-01,SYN-00432,West,Consumer,31.62,1,0.9405,High
2024-07-01,SYN-00312,Central,Consumer,38.06,1,0.9402,High
2024-08-01,SYN-00087,East,Consumer,10.41,1,0.9386,High
2024-10-01,SYN-00099,Central,Commercial,18.69,1,0.9386,High
2024-12-01,SYN-00086,Central,Consumer,7.22,1,0.9375,High
2024-11-01,SYN-00250,Central,Small Business,15.68,1,0.9375,High
2024-08-01,SYN-00297,West,Consumer,18.42,1,0.9372,High
2024-08-01,SYN-00172,East,Consumer,17.68,1,0.9367,High
2024-10-01,SYN-00271,Central,Consumer,31.29,1,0.9362,High
2024-07-01,SYN-00074,Central,Small Business,23.02,1,0.9358,High
