month,region,segment,customer_count,total_revenue,churn_rate,average_churn_probability
2024-07-01,Central,Commercial,25,5132.39,0.24,0.2
2024-07-01,Central,Consumer,145,9651.9,0.1448,0.1856
2024-07-01,Central,Small Business,52,5788.81,0.2115,0.2181
2024-07-01,East,Commercial,7,1227.87,0.1429,0.1408
2024-07-01,East,Consumer,105,7809.19,0.1333,0.1589
2024-07-01,East,Small Business,34,4180.28,0.2059,0.218
2024-07-01,West,Commercial,8,1579.22,0.25,0.1239
2024-07-01,West,Consumer,85,6237.68,0.1294,0.2
2024-07-01,West,Small Business,39,4621.76,0.1795,0.2212
2024-08-01,Central,Commercial,25,5974.06,0.0,0.1081
2024-08-01,Central,Consumer,145,9224.48,0.1724,0.2041
2024-08-01,Central,Small Business,52,5726.08,0.0962,0.1556
2024-08-01,East,Commercial,7,1269.91,0.2857,0.304
2024-08-01,East,Consumer,105,7120.67,0.1429,0.1954
2024-08-01,East,Small Business,34,4184.63,0.1176,0.1332
2024-08-01,West,Commercial,8,1209.71,0.125,0.147
2024-08-01,West,Consumer,85,5624.16,0.2,0.2432
2024-08-01,West,Small Business,39,4643.98,0.1538,0.2022
2024-09-01,Central,Commercial,25,5517.42,0.12,0.1699
2024-09-01,Central,Consumer,145,8774.38,0.1793,0.2173
2024-09-01,Central,Small Business,52,5439.18,0.1538,0.1642
2024-09-01,East,Commercial,7,1366.55,0.1429,0.1787
2024-09-01,East,Consumer,105,7027.57,0.1619,0.1782
2024-09-01,East,Small Business,34,4139.22,0.0882,0.1598
2024-09-01,West,Commercial,8,1510.22,0.0,0.0908
2024-09-01,West,Consumer,85,5822.42,0.1529,0.1795
2024-09-01,West,Small Business,39,4592.64,0.1282,0.1767
2024-10-01,Central,Commercial,25,4776.79,0.2,0.1852
2024-10-01,Central,Consumer,145,8794.53,0.1172,0.1857
2024-10-01,Central,Small Business,52,5450.72,0.1154,0.1282
2024-10-01,East,Commercial,7,1366.78,0.0,0.0705
2024-10-01,East,Consumer,105,6734.94,0.181,0.2219
2024-10-01,East,Small Business,34,3357.22,0.2647,0.2566
2024-10-01,West,Commercial,8,1142.06,0.25,0.2544
2024-10-01,West,Consumer,85,5643.22,0.1412,0.1863
2024-10-01,West,Small Business,39,4652.97,0.0513,0.1119
2024-11-01,Central,Commercial,25,5350.21,0.12,0.1495
2024-11-01,Central,Consumer,145,8912.01,0.1172,0.1826
2024-11-01,Central,Small Business,52,5280.07,0.1923,0.2151
2024-11-01,East,Commercial,7,1166.35,0.2857,0.2153
2024-11-01,East,Consumer,105,7012.27,0.1714,0.1716
2024-11-01,East,Small Business,34,4022.32,0.1176,0.1656
2024-11-01,West,Commercial,8,1532.24,0.0,0.1389
2024-11-01,West,Consumer,85,5734.72,0.1176,0.1806
2024-11-01,West,Small Business,39,4655.44,0.1026,0.1416
2024-12-01,Central,Commercial,25,5938.09,0.08,0.0996
2024-12-01,Central,Consumer,145,9437.41,0.1034,0.1568
2024-12-01,Central,Small Business,52,6118.21,0.0769,0.0916
2024-12-01,East,Commercial,7,1083.04,0.2857,0.2578
2024-12-01,East,Consumer,105,7500.27,0.0476,0.1211
2024-12-01,East,Small Business,34,4239.17,0.0588,0.0977
2024-12-01,West,Commercial,8,1654.15,0.0,0.129
2024-12-01,West,Consumer,85,5873.51,0.1765,0.1664
2024-12-01,West,Small Business,39,4817.55,0.1026,0.1253
