feature,importance
monthly_revenue,0.5414234604480538
revenue_rolling_3,0.1142217039696581
revenue_lag_1,0.08378925297864961
engagement_score,0.06320719201364693
engagement_rolling_4,0.05531719668939878
transactions,0.03778953395377703
support_tickets,0.036202077803701556
tenure_months,0.0290929974260497
products_held,0.011070621841457462
segment_Consumer,0.006535652348821393
marketing_touch,0.003937393251158482
segment_Small Business,0.003761084541091716
region_Central,0.0037421416581107816
region_East,0.0036145341012873327
region_West,0.003218139312871428
segment_Commercial,0.0030770176622658446
