month,revenue,series,lower_bound,upper_bound
2022-01-01,47755.01,actual,,
2022-02-01,49903.15,actual,,
2022-03-01,50836.1,actual,,
2022-04-01,52189.43,actual,,
2022-05-01,51443.61,actual,,
2022-06-01,48616.93,actual,,
2022-07-01,47128.55,actual,,
2022-08-01,45723.67,actual,,
2022-09-01,43195.25,actual,,
2022-10-01,44040.95,actual,,
2022-11-01,44162.0,actual,,
2022-12-01,45178.8,actual,,
2023-01-01,46999.32,actual,,
2023-02-01,48633.13,actual,,
2023-03-01,50837.79,actual,,
2023-04-01,50830.66,actual,,
2023-05-01,50289.16,actual,,
2023-06-01,49149.68,actual,,
2023-07-01,46996.4,actual,,
2023-08-01,45205.29,actual,,
2023-09-01,44207.69,actual,,
2023-10-01,43076.33,actual,,
2023-11-01,43697.87,actual,,
2023-12-01,43932.75,actual,,
2024-01-01,46881.97,actual,,
2024-02-01,49480.82,actual,,
2024-03-01,49991.78,actual,,
2024-04-01,51289.45,actual,,
2024-05-01,50562.24,actual,,
2024-06-01,48948.49,actual,,
2024-07-01,46229.1,actual,,
2024-08-01,44977.68,actual,,
2024-09-01,44189.6,actual,,
2024-10-01,41919.23,actual,,
2024-11-01,43665.63,actual,,
2024-12-01,46661.4,actual,,
2025-01-01,48491.69,forecast,47130.97,49852.4
2025-02-01,49183.43,forecast,47822.72,50544.14
2025-03-01,50006.49,forecast,48645.78,51367.2
2025-04-01,50499.78,forecast,49139.07,51860.49
2025-05-01,50300.41,forecast,48939.7,51661.12
2025-06-01,49383.77,forecast,48023.06,50744.48
